date,v0,v9
20141229,4.43,4.69
20141230,4.31,4.46
20141231,1.0,3.34
20150101,0.52,0.84
20150102,1.05,1.24
20150103,1.83,3.07
20150104,2.5,4.17
20150105,4.41,4.62
20150106,4.47,4.7
20150107,4.41,4.67
20150108,4.38,4.68
20150109,4.5,4.73
20150110,4.54,4.8
20150111,4.54,4.8
20150112,4.57,4.84
20150113,4.06,4.81
20150114,4.57,4.82
20150115,4.34,4.83
20150116,3.94,4.73
20150117,4.56,4.79
20150118,4.65,4.86
20150119,4.67,4.86
20150120,3.73,4.42
20150121,4.25,4.19
20150122,1.9,3.89
20150123,3.02,4.28
20150124,2.89,3.65
20150125,1.96,4.71
20150126,2.64,4.47
20150127,1.73,4.8
20150128,2.78,4.85
20150129,4.63,4.46
20150130,5.0,5.13
20150131,5.04,5.25
20150201,5.01,5.24
20150202,4.96,5.18
20150203,4.94,5.09
20150204,4.69,4.58
20150205,4.94,4.53
20150206,4.99,4.51
20150207,4.91,5.13
20150208,4.66,5.1
20150209,5.09,4.8
20150210,4.83,4.08
20150211,4.79,5.07
20150212,5.26,4.85
20150213,5.53,5.68
20150214,5.45,5.62
20150215,5.48,5.72
20150216,5.52,5.71
20150217,5.56,5.75
20150218,5.59,5.78
20150219,5.6,5.76
20150220,5.27,4.77
20150221,5.66,5.77
20150222,5.72,5.87
20150223,5.78,5.93
20150224,5.73,5.97
20150225,5.69,5.96
20150226,5.58,5.91
20150227,5.98,5.84
20150228,3.59,5.04
20150301,1.11,0.42
20150302,4.72,4.67
20150303,5.6,4.84
20150304,5.74,6.18
20150305,5.98,6.1
20150306,6.05,6.13
20150307,5.94,6.15
20150308,5.52,6.09
20150309,6.03,5.93
20150310,6.08,5.92
20150311,5.24,5.99
20150312,1.6,3.42
20150313,1.02,5.04
20150314,1.53,5.91
20150315,5.38,4.03
20150316,5.77,5.48
20150317,6.03,6.19
20150318,6.44,6.25
20150319,6.52,6.51
20150320,6.41,6.41
20150321,6.42,6.47
20150322,6.39,6.51
20150323,6.44,6.53
20150324,6.46,6.53
20150325,6.47,6.63
20150326,5.94,6.34
20150327,5.94,6.63
20150328,6.4,5.98
20150329,4.49,5.79
20150330,5.94,4.66
20150331,6.84,6.57
20150401,6.7,6.83
20150402,6.69,6.86
20150403,6.58,6.83
20150404,6.54,6.85
20150405,5.57,6.59
20150406,6.01,6.79
20150407,6.69,6.82
20150408,6.69,6.53
20150409,6.75,6.61
20150410,6.72,6.73
20150411,6.14,5.36
20150412,4.27,5.92
20150413,3.06,5.36
20150414,4.22,5.38
20150415,5.03,4.68
20150416,6.11,6.44
20150417,6.96,6.9
20150418,6.62,6.95
20150419,6.9,7.0
20150420,6.98,7.02
20150421,6.89,7.03
20150422,6.56,6.7
20150423,7.28,4.12
20150424,7.15,7.03
20150425,7.0,5.69
20150426,7.07,7.12
20150427,7.12,7.16
20150428,7.03,7.17
20150429,7.27,7.23
20150430,7.23,7.23
20150501,7.11,7.07
20150502,6.66,6.46
20150503,6.78,6.62
20150504,5.61,7.01
20150505,6.83,6.92
20150506,6.73,6.51
20150507,6.85,7.09
20150508,6.46,6.54
20150509,6.99,6.3
20150510,5.2,5.78
