date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
20000101,4.34,4.34,4.89,4.29,4.29,4.89,4.92,4.92,4.92,5.19,4.89,5.19,4.84,4.89,4.84,4.59,4.59,4.89,4.39
20000102,4.43,4.43,4.91,4.26,4.26,4.91,4.99,4.99,4.93,5.14,4.91,5.14,4.9,4.91,4.9,4.66,4.66,4.91,4.37
20000103,4.45,4.45,4.81,4.34,4.34,4.81,4.96,4.96,4.87,5.19,4.81,5.19,4.98,4.81,4.98,4.67,4.67,4.81,4.31
20000104,4.49,4.49,4.82,4.38,4.38,4.82,4.93,4.93,4.89,5.15,4.82,5.15,5.03,4.82,5.03,4.67,4.67,4.82,4.47
20000105,4.37,4.37,4.74,4.46,4.46,4.74,4.93,4.93,4.91,5.07,4.74,5.07,4.91,4.74,4.91,4.53,4.53,4.74,4.41
20000106,4.47,4.47,4.8,4.54,4.54,4.8,4.98,4.98,4.97,5.15,4.8,5.15,4.98,4.8,4.98,4.6,4.6,4.8,4.43
20000107,4.34,4.34,4.74,4.52,4.52,4.74,5.02,5.02,4.96,5.16,4.74,5.16,4.85,4.74,4.85,4.47,4.47,4.74,4.18
20000108,4.4,4.4,4.79,4.43,4.43,4.79,5.07,5.07,4.96,5.16,4.79,5.16,4.82,4.79,4.82,4.51,4.51,4.79,4.33
20000109,4.25,4.25,4.68,4.31,4.31,4.68,5.02,5.02,4.8,5.09,4.68,5.09,4.83,4.68,4.83,4.26,4.26,4.68,4.21
20000110,4.12,4.12,4.76,4.28,4.28,4.76,5.03,5.03,4.88,5.08,4.76,5.08,4.84,4.76,4.84,4.38,4.38,4.76,4.03
20000111,4.47,4.47,4.78,4.54,4.54,4.78,4.99,4.99,4.87,5.12,4.78,5.12,4.84,4.78,4.84,4.6,4.6,4.78,4.45
20000112,4.15,4.15,4.26,4.19,4.19,4.26,4.89,4.89,4.3,4.67,4.26,4.67,4.77,4.26,4.77,4.51,4.51,4.26,4.16
20000113,4.22,4.22,4.74,4.49,4.49,4.74,4.86,4.86,4.84,5.17,4.74,5.17,4.78,4.74,4.78,4.43,4.43,4.74,4.2
20000114,4.31,4.31,4.8,4.5,4.5,4.8,5.08,5.08,4.89,5.22,4.8,5.22,4.93,4.8,4.93,4.56,4.56,4.8,4.5
20000115,4.35,4.35,4.21,4.26,4.26,4.21,4.68,4.68,4.24,5.06,4.21,5.06,4.88,4.21,4.88,4.65,4.65,4.21,4.49
20000116,4.32,4.32,4.69,4.41,4.41,4.69,4.86,4.86,4.71,5.04,4.69,5.04,4.73,4.69,4.73,4.54,4.54,4.69,4.47
20000117,4.39,4.39,4.8,4.6,4.6,4.8,4.97,4.97,4.9,4.64,4.8,4.64,4.72,4.8,4.72,4.54,4.54,4.8,4.53
20000118,4.14,4.14,4.88,4.65,4.65,4.88,5.28,5.28,4.96,5.16,4.88,5.16,4.85,4.88,4.85,4.57,4.57,4.88,4.3
20000119,4.46,4.46,4.95,4.76,4.76,4.95,5.22,5.22,5.08,5.35,4.95,5.35,4.93,4.95,4.93,4.63,4.63,4.95,4.55
20000120,4.35,4.35,4.85,4.71,4.71,4.85,5.16,5.16,4.98,5.31,4.85,5.31,4.89,4.85,4.89,4.61,4.61,4.85,4.5
20000121,4.5,4.5,4.84,4.71,4.71,4.84,5.2,5.2,5.04,5.34,4.84,5.34,5.05,4.84,5.05,4.55,4.55,4.84,4.52
20000122,4.51,4.51,4.74,4.71,4.71,4.74,5.19,5.19,4.98,5.28,4.74,5.28,4.9,4.74,4.9,4.29,4.29,4.74,4.31
20000123,4.48,4.48,4.69,4.6,4.6,4.69,5.15,5.15,4.87,5.2,4.69,5.2,4.89,4.69,4.89,4.4,4.4,4.69,4.38
20000124,4.54,4.54,4.87,4.68,4.68,4.87,5.22,5.22,4.98,5.28,4.87,5.28,5.12,4.87,5.12,4.66,4.66,4.87,4.68
20000125,4.43,4.43,4.95,4.71,4.71,4.95,5.26,5.26,5.04,5.34,4.95,5.34,5.08,4.95,5.08,4.64,4.64,4.95,4.62
20000126,4.45,4.45,4.9,4.73,4.73,4.9,5.2,5.2,5.0,5.34,4.9,5.34,5.01,4.9,5.01,4.59,4.59,4.9,4.57
20000127,4.43,4.43,4.71,4.18,4.18,4.71,4.13,4.13,4.72,4.98,4.71,4.98,5.12,4.71,5.12,4.63,4.63,4.71,4.56
20000128,4.63,4.63,5.01,4.48,4.48,5.01,4.82,4.82,4.96,5.41,5.01,5.41,5.17,5.01,5.17,4.78,4.78,5.01,4.73
20000129,4.52,4.52,5.01,4.86,4.86,5.01,5.3,5.3,5.1,5.5,5.01,5.5,5.19,5.01,5.19,4.72,4.72,5.01,4.68
20000130,4.49,4.49,4.95,4.83,4.83,4.95,5.27,5.27,5.11,5.45,4.95,5.45,5.15,4.95,5.15,4.75,4.75,4.95,4.6
20000131,4.34,4.34,4.96,4.8,4.8,4.96,5.33,5.33,5.15,5.51,4.96,5.51,5.23,4.96,5.23,4.61,4.61,4.96,4.46
20000201,4.76,4.76,4.99,4.94,4.94,4.99,5.21,5.21,5.07,5.14,4.99,5.14,4.94,4.99,4.94,4.71,4.71,4.99,4.56
20000202,4.8,4.8,4.9,4.88,4.88,4.9,5.23,5.23,4.95,5.1,4.9,5.1,4.83,4.9,4.83,4.72,4.72,4.9,4.78
20000203,4.61,4.61,4.95,4.91,4.91,4.95,5.33,5.33,5.08,5.17,4.95,5.17,4.92,4.95,4.92,4.89,4.89,4.95,4.6
20000204,4.95,4.95,5.14,5.02,5.02,5.14,5.21,5.21,5.1,5.14,5.14,5.14,5.09,5.14,5.09,5.13,5.13,5.14,4.68
20000205,4.84,4.84,3.78,4.38,4.38,3.78,5.26,5.26,4.33,4.93,3.78,4.93,4.38,3.78,4.38,5.1,5.1,3.78,4.44
20000206,5.22,5.22,5.25,5.12,5.12,5.25,5.43,5.43,5.39,5.25,5.25,5.25,5.39,5.25,5.39,5.33,5.33,5.25,5.14
20000207,5.3,5.3,5.38,5.2,5.2,5.38,5.49,5.49,5.43,5.28,5.38,5.28,5.5,5.38,5.5,5.42,5.42,5.38,5.17
