year,month,date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
2021,5,4,6.23,6.11,6.24,6.68,6.84,6.38,6.08,6.5,6.36,6.88,6.51,6.27,5.92,5.74,6.3,6.49,6.65,6.17,6.33
2021,5,5,6.16,6.42,5.91,6.72,6.85,6.82,6.74,6.57,5.68,5.94,6.09,7.03,6.74,5.53,6.3,6.28,7.0,6.92,6.68
2021,5,6,5.64,5.96,5.95,6.34,6.63,6.51,6.48,6.6,6.08,6.18,5.91,4.97,5.69,4.55,5.3,5.44,5.55,6.79,6.64
2021,5,7,5.31,6.78,5.3,3.19,5.19,6.87,6.89,6.42,5.82,4.85,5.36,6.94,6.79,6.06,4.43,4.6,6.79,6.92,6.72
2021,5,8,6.86,6.18,6.8,6.89,6.92,6.92,6.68,6.6,6.76,6.87,6.37,6.89,6.72,5.26,6.86,6.78,6.94,6.81,6.53
2021,5,9,6.11,5.52,6.26,6.02,5.05,5.24,6.41,5.78,6.28,6.67,5.73,5.05,4.19,6.32,6.08,6.36,4.68,4.88,4.91
2021,5,10,6.76,6.72,6.67,6.58,6.78,6.03,6.68,5.58,6.61,6.81,6.51,6.04,6.57,6.49,6.63,6.63,6.5,6.26,5.86
2021,5,11,6.64,6.58,6.87,6.96,6.94,6.51,6.19,6.62,6.87,6.42,6.9,6.41,6.51,6.53,6.54,6.44,6.67,5.98,6.68
2021,5,12,6.79,5.96,6.78,7.13,6.85,6.57,6.27,5.14,6.2,6.99,7.09,5.79,4.67,5.87,6.56,7.09,6.84,5.57,5.11
2021,5,13,6.1,4.61,6.12,7.03,6.7,6.19,5.73,3.75,6.74,6.27,6.69,6.26,6.05,5.98,6.68,6.33,6.75,6.44,5.25
2021,5,14,6.75,6.65,6.63,6.55,7.03,6.78,6.7,6.65,6.61,6.98,6.64,6.81,5.54,6.69,6.62,6.49,6.99,6.82,6.26
2021,5,15,5.38,5.3,5.59,5.92,5.6,5.3,5.55,6.66,4.87,6.01,6.03,5.74,6.59,5.17,6.74,6.33,5.79,6.05,6.78
2021,5,16,6.54,5.64,6.32,6.12,6.34,6.47,5.37,5.77,5.89,6.63,5.3,6.23,5.75,5.93,6.04,5.84,6.86,4.8,5.82
2021,5,17,5.79,3.72,5.3,4.9,4.41,5.03,4.47,1.85,4.79,5.7,4.25,4.19,1.88,5.42,4.73,4.59,4.98,4.17,1.44
2021,5,18,3.7,3.83,5.16,3.78,4.46,4.72,2.55,5.24,3.26,6.22,4.54,3.16,3.78,4.58,3.5,4.14,4.14,3.17,3.83
2021,5,19,4.35,4.43,4.55,5.06,4.2,4.36,4.98,4.61,6.04,3.94,4.79,4.74,4.16,5.12,5.61,5.01,4.25,3.65,4.18
2021,5,20,4.99,4.17,6.23,5.77,6.03,5.84,6.01,3.97,5.24,5.65,6.6,6.97,4.88,5.67,5.18,6.08,6.95,6.94,3.05
2021,5,21,6.73,6.67,6.63,7.0,6.98,6.94,6.71,6.11,6.72,7.01,7.01,6.99,4.26,6.4,6.88,6.97,7.01,6.94,5.11
